"persona","cognome","nome","inizioMandato","fineMandato"
"http://dati.camera.it/ocd/persona.rdf/p200161","CANDIOTO","FRANCESCO","19870702","19920422"
"http://dati.camera.it/ocd/persona.rdf/p200161","CANDIOTO","FRANCESCO","19920405","19940414"
"http://dati.camera.it/ocd/persona.rdf/p200162","CANGELOSI","PIETRO","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200163","CANNARIATO","GIROLAMO","19920423","19940414"
"http://dati.camera.it/ocd/persona.rdf/p200165","CAPONE","ALFONSO","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200167","CAPONI","LEONARDO","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200169","CAPPELLI","SERGIO","19920405","19940414"
"http://dati.camera.it/ocd/persona.rdf/p200169","CAPPELLI","SERGIO","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200171","CAPPUZZO","UMBERTO","19870702","19920422"
"http://dati.camera.it/ocd/persona.rdf/p200171","CAPPUZZO","UMBERTO","19920405","19940414"
"http://dati.camera.it/ocd/persona.rdf/p200172","CAPUTO","LIVIO","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200176","CARELLA","FRANCESCO","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200177","CARINI","IVALDO","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200179","CARNITI","PIETRO SECONDO","19931111","19940414"
"http://dati.camera.it/ocd/persona.rdf/p200180","CARNOVALI","GIANLUIGI","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200182","CARPENEDO","DIEGO","19920405","19940414"
"http://dati.camera.it/ocd/persona.rdf/p200182","CARPENEDO","DIEGO","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200184","CARPI","UMBERTO","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200186","CARPINELLI","CARLO","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200191","CASADEI MONTI","PIERPAOLO","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200192","CASILLO","FRANCESCO","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200193","CASOLI","GIORGIO","19870702","19920422"
"http://dati.camera.it/ocd/persona.rdf/p200193","CASOLI","GIORGIO","19920405","19940414"
"http://dati.camera.it/ocd/persona.rdf/p200196","CASTELLANI","PIERLUIGI","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200198","CASTIGLIONE","FRANCO","19870702","19920422"
"http://dati.camera.it/ocd/persona.rdf/p200198","CASTIGLIONE","FRANCO","19920405","19940414"
"http://dati.camera.it/ocd/persona.rdf/p200200","CAVAZZUTI","FILIPPO","19870702","19920422"
"http://dati.camera.it/ocd/persona.rdf/p200200","CAVAZZUTI","FILIPPO","19920405","19940414"
