"persona","cognome","nome","info","inizioMandato","fineMandato"
"http://dati.camera.it/ocd/persona.rdf/p16310","OCCHETTO","ACHILLE","Licenza media superiore; giornalista, pubblicista","19870625","19920422"
"http://dati.camera.it/ocd/persona.rdf/p16310","OCCHETTO","ACHILLE","Licenza media superiore; giornalista, pubblicista","19920422","19940414"
"http://dati.camera.it/ocd/persona.rdf/p16310","OCCHETTO","ACHILLE","Licenza media superiore; giornalista, pubblicista","19940402","19960508"
"http://dati.camera.it/ocd/persona.rdf/p16310","OCCHETTO","ACHILLE","Licenza media superiore; giornalista, pubblicista","19960427","20010529"
"http://dati.camera.it/ocd/persona.rdf/p16350","ORSINI","BRUNO","Laurea in medicina e chirurgia; medico, docente universitario","19870626","19920422"
"http://dati.camera.it/ocd/persona.rdf/p16400","PANNELLA","GIACINTO","Laurea in giurisprudenza; giornalista.","19870623","19891025"
"http://dati.camera.it/ocd/persona.rdf/p16400","PANNELLA","GIACINTO","Laurea in giurisprudenza; giornalista.","19920422","19940414"
"http://dati.camera.it/ocd/persona.rdf/p16430","PELLIZZARI","GIANMARIO","Licenza media superiore; agricoltore","19870627","19920422"
"http://dati.camera.it/ocd/persona.rdf/p16470","PORTATADINO","COSTANTE","Laurea in filosofia; insegnante.","19870627","19920422"
"http://dati.camera.it/ocd/persona.rdf/p16540","QUERCIOLI","ELIO","Giornalista.","19870702","19920422"
"http://dati.camera.it/ocd/persona.rdf/p16620","ROSSI DI MONTELERA","LUIGI","Laurea in giurisprudenza; dirigente d'azienda","19870625","19920422"
"http://dati.camera.it/ocd/persona.rdf/p16640","RUBBI","ANTONIO","Agricoltore","19870625","19920422"
"http://dati.camera.it/ocd/persona.rdf/p16650","RUBBI","EMILIO","Laurea in scienze economiche e commerciali;","19870625","19920422"
"http://dati.camera.it/ocd/persona.rdf/p16660","SALADINO","GASPARE","Laurea in giurisprudenza; funzionario di partito.","19910321","19920422"
"http://dati.camera.it/ocd/persona.rdf/p16690","SANESE","NICOLAMARIA","Laurea in scienze economiche e commerciali; dirigente d'azienda.","19870625","19920422"
"http://dati.camera.it/ocd/persona.rdf/p16690","SANESE","NICOLAMARIA","Laurea in scienze economiche e commerciali; dirigente d'azienda.","19920417","19940414"
"http://dati.camera.it/ocd/persona.rdf/p16750","SCOVACRICCHI","MARTINO","Laurea in lettere; insegnante, giornalista","19870629","19920422"
"http://dati.camera.it/ocd/persona.rdf/p16760","SEGNI","MARIOTTO GIOVANNI BATTISTA","Laurea in giurisprudenza; docente universitario","19870625","19920422"
"http://dati.camera.it/ocd/persona.rdf/p16760","SEGNI","MARIOTTO GIOVANNI BATTISTA","Laurea in giurisprudenza; docente universitario","19920415","19940414"
"http://dati.camera.it/ocd/persona.rdf/p16760","SEGNI","MARIOTTO GIOVANNI BATTISTA","Laurea in giurisprudenza; docente universitario","19940412","19960508"
"http://dati.camera.it/ocd/persona.rdf/p16780","SILVESTRI","GIULIANO","Laurea in scienze politiche; pubblicista.","19870626","19920422"
"http://dati.camera.it/ocd/persona.rdf/p16780","SILVESTRI","GIULIANO","Laurea in scienze politiche; pubblicista.","19920415","19940414"
"http://dati.camera.it/ocd/persona.rdf/p1680","CIAMPAGLIA","ALBERTO","Licenza media superiore; funzionario pubblico.","19870627","19920422"
"http://dati.camera.it/ocd/persona.rdf/p16850","TASSONE","MARIO","Laurea in giurisprudenza; avvocato","19870626","19920422"
"http://dati.camera.it/ocd/persona.rdf/p16850","TASSONE","MARIO","Laurea in giurisprudenza; avvocato","19920414","19940414"
"http://dati.camera.it/ocd/persona.rdf/p16850","TASSONE","MARIO","Laurea in giurisprudenza; avvocato","19960509","20010529"
"http://dati.camera.it/ocd/persona.rdf/p16850","TASSONE","MARIO","Laurea in giurisprudenza; avvocato","20010521","20060427"
